time,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,activity
1761467126365477000,0.1267812635030597,-0.9961544793635606,-0.0381488211303949,0.0746282190084457,-0.238796666264534,-0.1969363689422607,walking
1761467126375459000,0.1183116143867373,-1.0163546790882945,-0.1157481936395168,0.0976962521672248,-0.2436265796422958,-0.1777397692203521,walking
1761467126385442000,0.1422738700587302,-1.0087266684278846,-0.1585772815406322,0.1313207745552063,-0.2478814274072647,-0.1683905124664306,walking
1761467126395424000,0.1907079383600503,-1.0724340014457705,-0.1180161385715007,0.1848284751176834,-0.2450789809226989,-0.1710009425878524,walking
1761467126405407200,0.3037039106819778,-1.2274477452859285,-0.0096714991867542,0.2358554005622863,-0.2411498725414276,-0.1710036396980285,walking
1761467126415390000,0.4680176900479942,-1.4170309904649854,0.0913069953441619,0.2642723619937897,-0.2164599746465683,-0.1639489233493805,walking
1761467126425372200,0.5730796545002609,-1.5551298398613929,0.2647393161892891,0.2345121353864669,-0.1639861613512039,-0.1392076015472412,walking
1761467126435355100,0.6511879263795912,-1.520768720576167,0.3122323042482137,0.1363650560379028,-0.0918485820293426,-0.1048624143004417,walking
1761467126445338000,0.7006982456102967,-1.2730749394729732,0.1796545563608408,-0.0244986321777105,-0.0241460241377353,-0.0543259792029857,walking
1761467126455320000,0.7251601213674992,-0.880258401685953,-0.223369779446721,-0.2084282636642456,0.0187862627208232,-0.0001133433543145,walking
1761467126465303300,0.7880765962686389,-0.3642965457454323,-0.7896984253168106,-0.3574329912662506,0.0198175497353076,0.0528251938521862,walking
1761467126475286000,0.8426633419808,0.211502816042304,-1.2780185333549976,-0.422779232263565,-0.0216982010751962,0.0710401535034179,walking
1761467126485268200,0.8902065989222377,0.7230705286771059,-1.508736337476969,-0.3712698519229889,-0.0842770487070083,0.0672369971871376,walking
1761467126495251200,0.94566296707578,1.0406894943997262,-1.4095470644503831,-0.1878811419010162,-0.1414761543273925,0.0496627949178218,walking
1761467126505234000,0.980532182013616,1.161204756310582,-1.005178912818432,0.0825896337628364,-0.1810560077428817,0.0178519934415817,walking
1761467126515216100,0.9217921160142868,1.0962740189775824,-0.4263286390274763,0.3750657141208648,-0.1992784291505813,-0.0116196125745773,walking
1761467126525199000,0.8001052530407905,0.925753786186874,0.2536024206250906,0.6056933999061584,-0.178965076804161,-0.032551996409893,walking
1761467126535182000,0.6707994394961744,0.6857081817492843,0.84673139513731,0.7237987518310547,-0.1356093436479568,-0.0441790893673896,walking
1761467126545164000,0.4701003415409475,0.4625432772248983,1.1550462336808442,0.7065678834915161,-0.1190278381109237,-0.0415036007761955,walking
1761467126555147300,0.3315928382784128,0.2580024091497063,1.2574772651076316,0.5737107396125793,-0.1134341359138488,-0.0247706919908523,walking
1761467126565129000,0.3368767700307071,0.0387713369429111,1.409369954317808,0.3874710202217102,-0.1026672646403312,0.0090910103172063,walking
1761467126575112200,0.3234390501782297,-0.079844521087408,1.45584236715734,0.2027909010648727,-0.1030030846595764,0.050376396626234,walking
1761467126585095200,0.2787568086910992,-0.0438762588664889,1.3992483732759953,0.0497460067272186,-0.1029350608587265,0.0834976434707641,walking
1761467126595077000,0.1751741230111569,0.1121381864488124,1.3240221596390007,-0.0422164052724838,-0.109464593231678,0.1125234365463256,walking
1761467126605060000,0.08036299200356,0.2407499533146619,1.254171793821454,-0.0696240216493606,-0.0973612070083618,0.1352799236774444,walking
1761467126615043000,-0.0029345190819352,0.3393488592326641,1.1830448321968317,-0.0639501512050628,-0.0808485448360443,0.1522349417209625,walking
1761467126625025000,-0.0489884873136877,0.3507756776541471,1.0423422300428151,-0.0523801557719707,-0.079070083796978,0.1760315299034118,walking
1761467126635008000,-0.0408964028054848,0.2803916433513164,0.8379618132263421,-0.0536675304174423,-0.0949177518486976,0.2059987485408783,walking
1761467126644991200,-0.0064643006432801,0.1900312812075018,0.6507002889931202,-0.0725289285182952,-0.1134856864809989,0.2368481755256652,walking
1761467126654973000,-0.0047302799249067,0.1592792923301458,0.5273445429593324,-0.1002204790711402,-0.1337076127529144,0.2550130486488342,walking
1761467126664956200,-0.0277534646485,0.2070499282866716,0.4277613021790981,-0.1352821439504623,-0.1574711054563522,0.2536028027534485,walking
1761467126674939100,-0.0680597560737282,0.2288277525916695,0.3332400209635496,-0.1700126975774765,-0.1607806086540222,0.2360917180776596,walking
1761467126684921000,-0.1230502968138083,0.2182473218664526,0.23280863892138,-0.1999045759439468,-0.1730330437421798,0.2085067182779312,walking
1761467126694904000,-0.1684485045505687,0.197397718322277,0.0750245535850524,-0.2147506326436996,-0.1912812888622284,0.1724112927913665,walking
1761467126704887000,-0.2071162349885329,0.1451078513756394,-0.0074012161672115,-0.2012376189231872,-0.1970298141241073,0.128955528140068,walking
1761467126714869000,-0.2850512691928074,0.1197550911933183,-0.010134440523386,-0.1660793721675872,-0.1909572780132293,0.0807211473584175,walking
1761467126724852000,-0.3755588577875867,0.1147282029420137,-0.008892331507802,-0.112429067492485,-0.1756668239831924,0.0370574407279491,walking
