time,seconds_elapsed,z,y,x
1761469320555927000,0.113927001953125,0.2662557065486908,-0.2969200611114502,-0.4382506012916565
1761469320565910000,0.123909912109375,0.291788250207901,-0.15008187294006348,-0.43588942289352417
1761469320575893200,0.133893310546875,0.34149637818336487,0.04856116697192192,-0.4503254294395447
1761469320585877200,0.143877197265625,0.41951021552085876,0.30418333411216736,-0.4935615658760071
1761469320595860000,0.15385986328125,0.48869776725769043,0.5516233444213867,-0.5398359894752502
1761469320605843000,0.163843017578125,0.5169169306755066,0.7423208951950073,-0.5758618712425232
1761469320615827200,0.1738271484375,0.4807605743408203,0.8563860058784485,-0.6102027297019958
1761469320625810200,0.18381005859375,0.40652015805244446,0.9299784302711487,-0.6181658506393433
1761469320635793200,0.193793212890625,0.3730061948299408,0.9604353308677673,-0.5551295280456543
1761469320645776100,0.203776123046875,0.4532927870750427,0.8975855112075806,-0.37573981285095215
1761469320655760100,0.213760009765625,0.616467297077179,0.7719866633415222,-0.11339149624109268
1761469320665743000,0.2237431640625,0.7503761053085327,0.7054350972175598,0.11939647793769836
1761469320675726000,0.23372607421875,0.7996104955673218,0.7400749921798706,0.1168733537197113
1761469320685709000,0.243708984375,0.7334836721420288,0.8792040944099426,-0.14687120914459229
1761469320695693000,0.253693115234375,0.5776386260986328,0.9807766079902649,-0.5207480192184448
1761469320705676000,0.263676025390625,0.40843597054481506,0.963517963886261,-0.8053126335144043
1761469320715659300,0.2736591796875,0.2506937086582184,0.8583665490150452,-0.9293065667152405
1761469320725643300,0.283643310546875,0.08603576570749283,0.7602689862251282,-0.9214291572570801
1761469320735626200,0.293626220703125,-0.06588510423898697,0.7991586327552795,-0.7976148128509521
1761469320745609000,0.30360888671875,-0.1541513204574585,0.9255935549736023,-0.5657099485397339
1761469320755592200,0.31359228515625,-0.20915637910366058,0.9908024668693542,-0.3223017156124115
1761469320765576200,0.323576171875,-0.21922312676906586,0.8988507390022278,-0.06555566936731339
1761469320775559200,0.33355908203125,-0.26543083786964417,0.6403605937957764,0.20745372772216797
1761469320785542000,0.3435419921875,-0.37940001487731934,0.3932267129421234,0.3700479567050934
1761469320795525000,0.353525146484375,-0.5589338541030884,0.3818178176879883,0.36183324456214905
1761469320805509000,0.363509033203125,-0.7229256629943848,0.46638569235801697,0.29806679487228394
1761469320815491300,0.3734912109375,-0.8507428169250488,0.6528158783912659,0.20988520979881287
1761469320825474300,0.383474365234375,-0.8818839192390442,0.8172306418418884,0.12349972128868103
1761469320835458300,0.393458251953125,-0.8839444518089294,0.8781304955482483,0.08260895311832428
1761469320845441300,0.403441162109375,-0.8762398958206177,0.914618730545044,0.06029512360692024
1761469320855424500,0.413424560546875,-0.8387328386306763,0.9774937629699707,0.05159401148557663
1761469320865407500,0.423407470703125,-0.8085387349128723,1.0882046222686768,0.057886529713869095
1761469320875391500,0.4333916015625,-0.7658974528312683,1.1651967763900757,0.08556750416755676
1761469320885374200,0.443374267578125,-0.6955868005752563,1.1304688453674316,0.1425972431898117
1761469320895357400,0.453357421875,-0.5884731411933899,1.0168033838272095,0.20320463180541992
1761469320905340400,0.46334033203125,-0.4892192780971527,0.9043777585029602,0.30611929297447205
1761469320915324400,0.473324462890625,-0.44168949127197266,0.8554772734642029,0.4472956359386444
1761469320925307400,0.483307373046875,-0.4220372438430786,0.8811480402946472,0.5901814103126526
1761469320935290400,0.493290283203125,-0.3945557475090027,0.9616973400115967,0.7289499640464783
1761469320945274400,0.5032744140625,-0.37521854043006897,1.0857125520706177,0.8067755699157715
1761469320955257300,0.51325732421875,-0.35562530159950256,1.2149451971054077,0.8490937948226929
1761469320965240600,0.523240478515625,-0.3479498028755188,1.2854119539260864,0.8509846329689026
1761469320975223300,0.533223388671875,-0.37449416518211365,1.1797302961349487,0.7531285881996155
1761469320985207300,0.543207275390625,-0.388589471578598,0.812528133392334,0.5147090554237366
1761469320995190300,0.553190185546875,-0.37038716673851013,0.4161752462387085,0.23009827733039856
1761469321005173500,0.563173583984375,-0.31871384382247925,0.09650509059429169,0.03092125803232193
1761469321015156200,0.57315625,-0.24008534848690033,-0.13143032789230347,-0.11532972753047943
1761469321025140200,0.58314013671875,-0.1972569227218628,-0.19548973441123962,-0.15171675384044647
1761469321035123500,0.59312353515625,-0.1802215278148651,-0.09168172627687454,-0.05958529934287071
1761469321045106400,0.6031064453125,-0.14920128881931305,0.00466877780854702,0.09935694932937622
1761469321055090400,0.61309033203125,-0.06196000054478645,-0.006545480340719223,0.20203715562820435
1761469321065073200,0.6230732421875,0.018950024619698524,-0.05899963155388832,0.2070862352848053
1761469321075056400,0.633056396484375,0.062053460627794266,-0.02575824037194252,0.09838684648275375
1761469321085039400,0.643039306640625,0.08524000644683838,0.14262385666370392,-0.03366412967443466
1761469321095023400,0.6530234375,0.0729406476020813,0.3554283678531647,-0.2033424824476242
1761469321105006300,0.66300634765625,0.07665681838989258,0.48243796825408936,-0.4130198061466217
1761469321114989300,0.6729892578125,0.1354854255914688,0.4534761905670166,-0.5482815504074097
1761469321124972300,0.68297216796875,0.2723388671875,0.3206060230731964,-0.5689540505409241
1761469321134956300,0.692956298828125,0.4510157108306885,0.1403605043888092,-0.5383632183074951
1761469321144939500,0.702939453125,0.6178920269012451,-0.01762833446264267,-0.5038833022117615
1761469321154922500,0.712922607421875,0.7529798746109009,-0.07623713463544846,-0.4756433069705963
1761469321164906200,0.72290625,0.8522869944572449,-0.03970522806048393,-0.4591711163520813
1761469321174889200,0.73288916015625,0.8919355869293213,0.036996833980083466,-0.47347041964530945
